Country,Country Code,population_total,gdp_ppp_current_intl,trade_pct_gdp,military_expenditure_pct_gdp,co2_tonnes_per_capita,democracy_index,HDI
Aruba,ABW,107624.0,4827649139.539837,169.7982826150573,,,,
Afghanistan,AFG,42647492.0,91271896894.46002,67.58466515163852,1.827933856217,,0.25,0.496
Angola,AGO,37885849.0,316269278905.41583,62.29591876593681,1.33252915998752,,4.05,0.616
Albania,ALB,2714617.0,63760906790.77882,79.07075976661906,1.7439916766918602,,6.2,0.81
Andorra,AND,81938.0,6140390670.090902,,,,,0.913
United Arab Emirates,ARE,10876981.0,847957424147.982,202.332536002327,5.64365135247024,,3.07,0.94
Argentina,ARG,45696159.0,1378906089397.4685,28.159401434878166,0.472747196738259,,6.51,0.865
Armenia,ARM,3033500.0,69234115090.81409,152.14022908422976,5.45092500345977,,5.35,0.811
American Samoa,ASM,46765.0,,124.68427095292766,,,,
Antigua and Barbuda,ATG,93772.0,3150959938.8934937,117.70352776835269,,,,0.851
Australia,AUS,27204809.0,1936797839321.65,47.31422901312887,1.92219906285917,,8.85,0.958
Austria,AUT,9178482.0,657343622086.7665,110.53546243976392,0.844274840737983,,8.28,0.93
Azerbaijan,AZE,10202850.0,255978795310.90952,82.6898691594703,4.6021031480828105,,2.8,0.789
Burundi,BDI,14047786.0,13343073380.47738,29.736972306625127,3.65892759114663,,2.13,0.439
Belgium,BEL,11876844.0,856629284653.9323,158.4529496620351,1.21461599569106,,7.64,0.951
Benin,BEN,14462724.0,64135878351.03546,40.63980224015232,0.7112022699095529,,4.44,0.515
Burkina Faso,BFA,23548781.0,68201683192.87026,63.42834662328364,4.00532688335591,,2.55,0.459
Bangladesh,BGD,173562364.0,1674316179059.4878,26.778076339325192,1.02281837589173,,4.44,0.685
Bulgaria,BGR,6444366.0,264773991018.95453,109.28884079279692,1.84737280288254,,6.34,0.845
Bahrain,BHR,1588670.0,106776082045.15411,157.44785468229745,3.10846000977851,,2.45,0.899
"Bahamas, The",BHS,401283.0,16532024282.48164,79.24245869334547,,,,0.82
Bosnia and Herzegovina,BIH,3164253.0,69521962129.18864,99.97435221732988,0.80838231949892,,5.06,0.804
